ID,Bug ID,Blocking Bug ID,Blocked Bug ID,Reason,Measure
91,Freedesktop,76688,76685,R1,M2
92,Freedesktop,32742,32966,R4,M1
93,Freedesktop,26379,26381,R1,M1
94,Freedesktop,61390,54157,R2,M1
95,Freedesktop,78774,79039,R1,M1
96,Freedesktop,83463,83384,R4,M3
97,Freedesktop,27375,22206,R1,M2
98,Freedesktop,27687,26249,R3,M2
99,Freedesktop,44721,52471,R1,M1
100,Freedesktop,86340,23105,R1,M1
101,Freedesktop,75112,75011,R3,M2
102,Freedesktop,16656,19084,R1,M2
103,Freedesktop,14096,36458,R2,M2
104,Freedesktop,4542,4920,R1,M2
105,Freedesktop,12247,12008,R1,M1
106,Mozilla,528761,474056,R2,M2
